Accident_ID,Date,Month,Accidents,Injuries,Fatalities,Weather,Vehicle_Type,Road_Type,Speed_Limit,Alcohol_Involved,Severity
31,2024-05-02,May,7,5,1,Clear,Car,Highway,100,0,High
32,2024-05-05,May,6,4,1,Rain,Truck,City,50,1,High
33,2024-05-07,May,3,2,0,Clear,Bike,Rural,65,0,Medium
34,2024-05-09,May,5,3,0,Heat,Car,City,40,0,Medium
35,2024-05-12,May,4,3,1,Rain,Bike,Highway,70,1,High
36,2024-05-15,May,2,1,0,Clear,Bus,Rural,60,0,Low
37,2024-05-18,May,8,6,1,Heat,Car,Highway,100,0,High
38,2024-05-21,May,3,2,0,Rain,Bike,City,50,0,Medium
39,2024-05-23,May,4,2,0,Clear,Car,City,45,1,Medium
40,2024-05-25,May,9,7,2,Heat,Truck,Highway,95,1,High
41,2024-06-01,Jun,5,3,1,Rain,Car,Highway,80,1,High
42,2024-06-03,Jun,7,5,1,Clear,Bike,City,50,0,High
43,2024-06-06,Jun,4,2,0,Heat,Bus,Rural,60,0,Medium
44,2024-06-09,Jun,3,1,0,Rain,Truck,City,45,0,Low
45,2024-06-11,Jun,6,4,1,Clear,Car,Highway,90,1,High
46,2024-06-13,Jun,7,5,1,Rain,Bike,City,50,0,High
47,2024-06-16,Jun,3,2,0,Clear,Car,Rural,60,0,Low
48,2024-06-18,Jun,8,6,1,Heat,Truck,Highway,95,1,High
49,2024-06-21,Jun,5,3,0,Clear,Bus,City,40,0,Medium
50,2024-06-25,Jun,4,2,0,Rain,Car,City,50,0,Medium
51,2024-07-01,Jul,8,6,1,Heat,Car,Highway,100,1,High
52,2024-07-03,Jul,5,3,0,Rain,Bike,City,45,0,Medium
53,2024-07-06,Jul,6,4,1,Clear,Truck,Rural,70,1,High
54,2024-07-08,Jul,7,5,1,Heat,Car,City,40,0,High
55,2024-07-11,Jul,4,3,0,Clear,Bike,Highway,80,0,Medium
56,2024-07-14,Jul,9,7,2,Heat,Bus,Highway,90,1,High
57,2024-07-18,Jul,3,1,0,Rain,Car,City,50,0,Low
58,2024-07-20,Jul,7,5,1,Heat,Truck,Rural,65,1,High
59,2024-07-23,Jul,6,4,1,Clear,Bike,City,45,0,High
60,2024-07-27,Jul,5,2,0,Clear,Car,Highway,90,0,Medium
61,2024-08-01,Aug,7,5,1,Heat,Car,Highway,95,1,High
62,2024-08-04,Aug,6,4,1,Rain,Bike,City,45,0,High
63,2024-08-06,Aug,5,3,0,Clear,Truck,Rural,60,0,Medium
64,2024-08-09,Aug,4,2,0,Heat,Car,City,50,1,Medium
65,2024-08-12,Aug,8,6,1,Clear,Bike,Highway,80,0,High
66,2024-08-14,Aug,3,1,0,Rain,Bus,Rural,60,0,Low
67,2024-08-17,Aug,6,4,1,Clear,Car,City,40,0,High
68,2024-08-20,Aug,7,5,1,Rain,Bike,City,50,1,High
69,2024-08-23,Aug,5,3,0,Clear,Truck,Highway,90,0,Medium
70,2024-08-27,Aug,9,7,2,Heat,Car,Highway,100,1,High
71,2024-09-01,Sep,4,2,0,Clear,Car,City,50,0,Medium
72,2024-09-04,Sep,5,3,1,Rain,Bike,Highway,70,1,High
73,2024-09-07,Sep,6,4,1,Fog,Truck,Rural,60,0,High
74,2024-09-09,Sep,7,5,1,Clear,Car,City,45,0,High
75,2024-09-11,Sep,3,1,0,Rain,Bike,City,40,0,Low
76,2024-09-14,Sep,4,2,0,Clear,Bus,Rural,60,0,Medium
77,2024-09-17,Sep,7,5,1,Rain,Car,Highway,90,1,High
78,2024-09-20,Sep,6,4,1,Clear,Truck,City,50,0,High
79,2024-09-24,Sep,5,3,0,Fog,Bike,Highway,80,1,Medium
80,2024-09-27,Sep,4,2,0,Clear,Car,Rural,55,0,Medium
81,2024-10-01,Oct,6,4,1,Clear,Car,Highway,85,0,High
82,2024-10-04,Oct,7,5,1,Rain,Bike,City,45,1,High
83,2024-10-07,Oct,4,2,0,Fog,Truck,Rural,60,0,Medium
84,2024-10-09,Oct,5,3,0,Clear,Bike,City,40,0,Medium
85,2024-10-12,Oct,3,1,0,Rain,Car,City,50,0,Low
86,2024-10-15,Oct,8,6,1,Clear,Bus,Highway,90,1,High
87,2024-10-18,Oct,7,5,1,Rain,Truck,City,45,0,High
88,2024-10-21,Oct,6,4,0,Clear,Car,Rural,60,0,Medium
89,2024-10-25,Oct,5,3,0,Fog,Bike,Highway,80,1,Medium
90,2024-10-27,Oct,4,2,0,Clear,Car,City,40,0,Medium
91,2024-11-01,Nov,3,1,0,Clear,Car,Rural,60,0,Low
92,2024-11-04,Nov,4,2,0,Rain,Bike,City,50,0,Medium
93,2024-11-07,Nov,6,4,1,Fog,Truck,Highway,75,1,High
94,2024-11-10,Nov,5,3,0,Clear,Car,City,45,0,Medium
95,2024-11-12,Nov,7,5,1,Rain,Bike,Rural,60,0,High
96,2024-11-15,Nov,8,6,1,Clear,Bus,Highway,90,1,High
97,2024-11-18,Nov,4,2,0,Rain,Car,City,40,0,Medium
98,2024-11-21,Nov,6,4,1,Clear,Truck,Rural,65,0,High
99,2024-11-24,Nov,5,3,0,Fog,Bike,City,45,1,Medium
100,2024-11-27,Nov,4,2,0,Clear,Car,City,40,0,Medium
101,2024-12-01,Dec,6,4,1,Fog,Car,Highway,80,1,High
102,2024-12-04,Dec,7,5,1,Rain,Bike,City,50,0,High
103,2024-12-06,Dec,4,2,0,Clear,Truck,Rural,60,0,Medium
104,2024-12-09,Dec,3,1,0,Clear,Bike,City,45,0,Low
105,2024-12-12,Dec,5,3,0,Rain,Car,Highway,90,1,Medium
106,2024-12-15,Dec,8,6,1,Fog,Bus,Rural,60,1,High
107,2024-12-18,Dec,7,5,1,Clear,Truck,City,40,0,High
108,2024-12-21,Dec,6,4,1,Rain,Car,City,50,0,High
109,2024-12-24,Dec,4,2,0,Clear,Bike,Highway,80,0,Medium
110,2024-12-27,Dec,5,3,0,Fog,Car,City,40,0,Medium
111,2024-12-28,Dec,3,1,0,Clear,Bike,City,45,0,Low
112,2024-12-29,Dec,8,6,1,Rain,Truck,Highway,95,1,High
113,2024-12-30,Dec,9,7,2,Fog,Car,Highway,100,1,High
114,2024-10-29,Oct,4,3,0,Clear,Car,City,40,0,Medium
115,2024-07-30,Jul,5,2,1,Rain,Truck,Rural,65,1,High
116,2024-08-29,Aug,7,5,1,Heat,Bike,City,45,0,High
117,2024-09-29,Sep,4,2,0,Fog,Car,City,40,0,Medium
118,2024-11-29,Nov,3,1,0,Rain,Bike,Rural,60,0,Low
119,2024-03-30,Mar,5,3,1,Clear,Truck,Highway,80,1,High
120,2024-02-28,Feb,4,2,0,Clear,Car,City,50,0,Medium
